,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp_Total,Att_Total,Cmp%_Total,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Touches,T_Def Pen,T_Def 3rd,T_Mid 3rd,T_Att 3rd,T_Att Pen,T_Live,Drib_Att,Drib_Succ,Drib_Succ%,Drib_Tkld,Drib_Tkld%,Carries,Carry_TotDist,Carry_PrgDist,Carry_PrgNum,Carry_1/3,Carry_PA,Carry_Miscon,Carry_Dispos,Rec,Rec_Prg,D_Tkl,D_TklW,Tkl_Def 3rd,Tkl_Mid 3rd,Tkl_Att 3rd,Chal_Tkl,Chal_Att,Chal_Tkl%,Chal_Lost,Blocks,B_Sh,B_Pass,Int,Tkl+Int,Clr,Err
2219,Alexsandro Ribeiro,BRA,DF,Lille,Ligue 1,23.0,1999.0,24.7,0,17,2,11.8,0.69,0.08,0.0,0.0,10.9,0,0,0,2.0,2.0,0.12,-2.0,-2.0,1615,1804,89.5,29871,10802,584,618,94.5,868,934,92.9,128,201,63.7,0,0.5,0.7,-0.5,5,83,5,0,82,11,0.45,10,0,0,1,0,0,1,0.04,0,0,0,1,0,0,2069,213,893,1121,64,25,2069,10,4,40.0,3,30.0,1584,7890,3888,15,10,2,15,7,1495,7,32,22,24,8,0,16,31,51.6,15,25,15,10,35,67,116,5
2220,Rodrigo Ribeiro,POR,"MF,FW",Nott'ham Forest,Premier League,18.0,2005.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,8,75.0,89,35,2,4,50.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,2,1,5.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,12,0,1,4,7,2,12,1,0,0.0,1,100.0,7,59,43,2,1,0,0,1,8,1,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
2221,Samuele Ricci,ITA,MF,Torino,Serie A,21.0,2001.0,26.6,1,30,5,16.7,1.13,0.19,0.03,0.2,22.7,0,0,0,1.3,1.3,0.04,-0.3,-0.3,1121,1310,85.6,18378,4368,524,574,91.3,496,551,90.0,71,117,60.7,2,2.3,2.4,-0.3,26,103,24,4,122,68,2.56,50,8,2,4,4,0,7,0.26,3,0,1,2,1,0,1516,41,235,929,363,28,1516,29,9,31.0,18,62.1,944,5327,2405,47,35,7,20,12,1050,73,33,18,17,12,4,15,23,65.2,8,21,3,18,27,60,25,0
2222,Declan Rice,ENG,MF,Arsenal,Premier League,24.0,1999.0,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,3.7,3.7,2041,2295,88.9,34242,9378,958,1031,92.9,910,975,93.3,137,210,65.2,8,5.3,4.8,2.7,47,240,39,2,278,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0
2223,Chris Richards,USA,"DF,MF",Crystal Palace,Premier League,23.0,2000.0,23.3,1,11,3,27.3,0.47,0.13,0.09,0.33,10.0,0,0,0,0.6,0.6,0.05,0.4,0.4,778,942,82.6,13337,4341,362,413,87.7,341,389,87.7,58,100,58.0,1,0.4,0.2,0.6,6,41,2,0,43,16,0.69,11,0,0,2,0,3,3,0.13,3,0,0,0,0,0,1195,157,557,568,77,21,1195,1,1,100.0,0,0.0,574,2313,890,1,6,0,7,4,678,1,46,28,21,22,3,20,30,66.7,10,32,12,20,27,73,109,0
2224,Amir Richardson,MAR,MF,Reims,Ligue 1,21.0,2002.0,15.0,3,17,8,47.1,1.13,0.53,0.18,0.38,18.8,0,0,0,1.6,1.6,0.1,1.4,1.4,534,651,82.0,9313,1944,235,281,83.6,245,284,86.3,46,65,70.8,1,1.1,1.4,-0.1,12,51,7,2,72,29,1.93,24,0,0,4,0,1,1,0.07,1,0,0,0,0,0,855,45,166,487,214,20,855,26,8,30.8,18,69.2,593,3703,1511,28,28,3,23,21,563,40,33,23,12,18,3,10,22,45.5,12,26,5,21,15,48,30,0
2225,Richarlison,BRA,FW,Tottenham,Premier League,26.0,1997.0,16.6,11,62,25,40.3,3.74,1.51,0.18,0.44,12.9,0,0,0,9.6,9.6,0.15,1.4,1.4,267,392,68.1,3761,956,153,193,79.3,85,119,71.4,10,15,66.7,4,2.1,1.4,1.9,15,21,13,1,38,34,2.05,23,0,3,5,2,1,5,0.3,5,0,0,0,0,0,652,33,88,248,322,121,652,37,10,27.0,23,62.2,394,1656,712,26,11,17,53,40,459,106,16,11,4,8,4,2,10,20.0,8,32,6,26,8,24,23,0
2226,Marco Richter,GER,"MF,FW",Mainz 05,Bundesliga,25.0,1997.0,8.0,1,38,9,23.7,4.77,1.13,0.03,0.11,21.2,4,0,0,1.9,1.9,0.05,-0.9,-0.9,184,291,63.2,3183,1076,91,111,82.0,59,98,60.2,26,58,44.8,0,1.3,2.1,-1.3,11,23,11,3,30,28,3.51,14,5,2,5,2,0,1,0.13,0,1,0,0,0,0,426,3,42,175,214,37,426,37,16,43.2,18,48.6,239,1411,651,20,11,9,31,12,296,53,10,4,5,3,2,4,11,36.4,7,9,0,9,2,12,1,0
2227,Diego Rico,ESP,DF,Getafe,La Liga,30.0,1993.0,28.2,0,18,5,27.8,0.64,0.18,0.0,0.0,27.0,0,0,0,0.3,0.3,0.02,-0.3,-0.3,993,1495,66.4,17450,8646,482,570,84.6,384,566,67.8,104,267,39.0,7,3.8,3.4,3.2,39,106,40,32,119,61,2.17,46,10,0,1,3,1,6,0.21,6,0,0,0,0,0,1809,80,458,900,467,6,1809,33,11,33.3,20,60.6,758,3025,1419,28,36,1,33,20,840,79,64,48,32,23,9,41,76,53.9,35,25,8,17,41,105,76,0
2228,Clemens Riedel,GER,DF,Darmstadt 98,Bundesliga,20.0,2003.0,8.4,0,8,3,37.5,0.95,0.36,0.0,0.0,21.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,490,576,85.1,9609,3088,164,185,88.6,266,286,93.0,55,84,65.5,0,0.7,0.3,-0.7,6,37,3,0,47,20,2.38,13,1,2,3,0,1,2,0.24,2,0,0,0,0,0,667,49,261,339,73,6,667,8,4,50.0,4,50.0,424,2084,1146,4,10,0,3,2,460,27,22,13,16,5,1,15,24,62.5,9,11,3,8,11,33,26,0
